Name,Latitude,Longitude,Votes,Rating
Faro,40.707407,-73.922839,271,4.0
TØRST,40.7233949,-73.950856,389,4.5
Piacere,40.7196979,-73.9951175,668,4.0
Adoro Lei,40.725612,-74.007916,278,4.5
Bozu,40.7129,-73.95749,818,4.0
El Almacen,40.71679,-73.9564,642,4.0
Cowgirl Seahorse,40.7081358,-74.0004532,573,4.0
Del Frisco's Double Eagle Steakhouse,40.759412,-73.982221,2900,4.5
Aurora Soho,40.723543,-74.003199,451,4.0
Tang Hotpot,40.71866,-73.99435,215,4.0
Taco Dumbo,40.700601,-73.988467,180,4.0
Belle Reve,40.7194897,-74.0041143883606,158,4.0
Breakroom,40.7166907225542,-73.9999440120647,1568,4.5
Barolo East,40.75481,-73.97059,79,4.5
Cafe Katja,40.7177673,-73.990589,775,4.5
Dar 525,40.72308,-73.9452699,116,4.5
Dante,40.72879,-74.00165,310,4.0
Yuca Bar,40.7262,-73.9836,1754,4.0
Totto Ramen,40.76444,-73.98759,5387,4.0
Habana Outpost,40.68645,-73.97416,1003,4.0
Superfine,40.702236,-73.987426,447,3.5
Los Tacos No.1,40.7575067,-73.9877717,1581,4.5
Dar 525,40.711266,-73.950317,458,4.5
Brindle Room,40.72829,-73.98271,1013,4.0
Del Posto,40.7434155953035,-74.007533013261,1415,4.0
Barrio Chino,40.718022,-73.990026,1097,4.0
Nami Nori,40.730284,-74.003212,46,4.0
Jacob's Pickles Time Out Market,40.7034,-73.991402,21,4.0
Oda House,40.7240282,-73.9821844,350,4.0
The Good Fork,40.67599,-74.01432,404,4.0
Scottadito Osteria Toscana,40.6746627,-73.9766125,843,4.0
Glasserie,40.7376154,-73.9560697,354,4.0
Hong Chun Cheon,40.74721,-73.986192,23,3.0
Extra Virgin,40.7353962496717,-74.0031888223197,1236,3.5
Gran Morsi,40.7142052394856,-74.0077535494539,340,4.5
Hortus NYC,40.74545,-73.98652,157,4.5
The Brazen Tavern,40.7593269348145,-73.9913101196289,362,4.5
Sushi By M,40.72666,-73.99027,336,4.5
Dutch Freds,40.760835,-73.987823,1459,4.5
BH Kitchen & Bar,40.757346,-73.976621,135,4.0
Kaoru,40.75202,-73.96977,321,4.5
Olmsted,40.67713,-73.96869,363,4.0
Loring Place,40.73299,-73.99754,380,4.5
Bohemian Restaurant,40.72639,-73.99236,745,4.5
Ootoya Greenwich Village,40.73316,-73.99273,300,4.0
Izakaya NoMad,40.74409,-73.98945,655,4.0
La Lanterna Di Vittorio,40.73069,-74.00015,1438,4.0
Baba's Pierogies,40.67687,-73.98633,381,4.5
Let's Meat,40.746774,-73.985524,887,4.0
Noodle Village,40.714167,-73.998803,1050,4.0
Jun-Men Ramen Bar,40.748209,-74.00047,594,4.0
Galata Mediterranean Cuisine,40.74531,-73.97753,338,4.5
Fancy Nancy,40.6895209324106,-73.9552916183814,157,4.0
K Rico Steakhouse,40.76438,-73.9880699,573,4.5
The Hive,40.7201725641173,-73.9617135105149,179,4.0
Verlaine,40.720079,-73.987785,1408,4.0
Menya Jiro- Brooklyn,40.69505,-73.98357,118,4.0
Gotham Bar and Grill,40.734186,-73.993696,1581,4.5
Perfect Taste,40.71508,-73.99157,71,4.5
Da Ciro Brooklyn,40.6931299,-73.96716,88,4.5
Las Santas,40.6882,-73.97953,20,5.0
Rucola,40.68562,-73.98587,478,4.0
Buenos Aires,40.7253150939941,-73.983039855957,527,4.0
Arturo's,40.7273563342024,-74.0004944801331,663,4.0
L'industrie Pizzeria,40.71162,-73.95783,493,5.0
Sama Street,40.73287,-73.95448,69,5.0
Macao trading,40.719623,-74.003904,732,4.0
Taboonette,40.7347009,-73.9927323,833,4.0
Rizzo's Fine Pizza,40.720852,-73.984456,717,4.5
L'Appart,40.712708,-74.015919,97,5.0
The Boil,40.7302644713689,-73.9943788112708,754,4.0
Dinosaur Bar-B-Que,40.6776201,-73.9838929,1589,3.5
SakaMai,40.7209536656701,-73.9881407239426,636,4.0
The NoMad Restaurant,40.7449,-73.988482,1452,4.0
Momofuku Ko,40.724776,-73.991682,295,4.5
The Halal Guys,40.761854,-73.979363,9279,4.0
Walter Foods,40.713588,-73.958488,499,4.0
Sunday in Brooklyn,40.714145,-73.965322,701,4.0
Sapori D'Italia,40.71735,-73.99855,236,4.5
Gyu-Kaku Japanese BBQ,40.75537,-73.97054,1159,4.0
Palma,40.73115,-74.00233,699,4.0
Angeletto Restaurant,40.753188,-73.969365,183,4.5
Suteishi,40.70788,-74.00194,479,4.0
Red Rooster Harlem,40.80815,-73.94488,3166,3.5
The Drunken Munkey - UES,40.78098,-73.94751,964,4.5
Karczma,40.729977,-73.955128,552,4.5
Spaghetti Incident,40.7223153441439,-73.9899454318763,573,4.0
Clover Club,40.6846046447754,-73.9921875,762,4.0
99 Favor Taste,40.728833,-73.988094,579,4.0
Lowerline,40.67421,-73.96324,141,4.5
Locanda Verde,40.7198601300801,-74.010039072422,1598,4.0
Buttermilk Channel,40.675919,-73.999059,1858,4.0
Highlands NYC,40.734345,-74.0010957,399,4.0
The Mermaid Inn,40.7269999,-73.98844,1311,4.0
Yakitori Totto,40.765375,-73.983114,1287,4.0
Ashland,40.6958,-73.98378,29,4.0
Shabushabu Macoron,40.71909,-73.99086,62,4.5
Cocoron,40.72031,-73.99305,980,4.0
Hometown Hotpot & BBQ,40.71931,-73.99689,1178,4.0
Diller,40.716465,-73.989078,39,5.0
DokoDemo,40.72638,-73.98964,278,4.5
Solaro,40.730588,-74.00238,9,5.0
Boqueria Flatiron,40.7402927726298,-73.9940709810079,1223,4.0
4 Charles Prime Rib,40.73513,-74.00065,238,5.0
Melba's,40.8031468838453,-73.9565069228411,1022,4.0
Lil' Frankie's,40.723625,-73.988555,1060,4.0
Marlow & Sons,40.7106126934043,-73.9658814005443,527,4.0
Sel Rrose,40.7200099,-73.993839,476,4.0
Ikinari Steak East Village,40.73088,-73.98968,755,4.0
Black Tap - Midtown,40.76347,-73.97978,1100,4.0
Zest Szechuan,40.75274,-73.98445,558,4.0
Wayan,40.7213813139202,-73.9950757664721,155,4.0
Vanessa's Dumpling House,40.71839,-73.9917399,2578,4.0
Upland,40.7418912,-73.9846396,961,4.0
Samurai Mama,40.7140208838114,-73.960325717926,581,4.0
Totto Ramen - Midtown East,40.7562184833974,-73.9679722894107,1103,4.0
Dynasty Dim Sum,40.74148,-73.98087,134,4.0
Fornino,40.6928735340776,-74.0016932280972,218,4.0
Aita,40.686412,-73.966629,249,4.0
Brooklyn Crab,40.6752649,-74.016568,1003,3.0
Baodega,40.74014,-73.99178,80,4.0
Five Leaves,40.72371830945,-73.95159863632,1584,4.0
Pearl's,40.7180814,-73.956634,511,4.0
The Tuck Room,40.70654,-74.00325,254,3.5
Brooklyn Ice House,40.67919,-74.011099,221,4.5
Da Mikele by Luzzo's,40.718477,-74.004802,341,4.0
Il Corallo Trattoria,40.7262073,-74.0018919,928,4.0
The Warren,40.7331,-74.0067,212,4.0
Club A Steakhouse,40.76006,-73.96557,2704,4.5
Flip Sigi,40.73405,-74.00642,677,4.0
Kong Sihk Tong 港食堂,40.71542,-73.99813,198,4.0
Boqueria UES,40.771522,-73.956073,709,4.0
Barbalu Restaurant,40.7074747,-74.0020404,279,4.0
Gnoccheria Wall Street,40.70345,-74.01213,12,4.5
Moloko,40.6949690078622,-73.954842,163,4.5
Davelle,40.71852,-73.98605,102,4.0
Grand Seoul,40.7175,-73.99435,124,4.0
The Burgary,40.7193370804105,-73.9850228946549,243,4.5
Benito One,40.7200188460948,-73.9969412164592,699,4.0
Laojie Hotpot,40.6389709339157,-74.0046846944427,525,4.5
BarBacon Hell's Kitchen,40.766253,-73.986674,1173,4.0
June,40.6861,-73.99394,173,4.0
San Marzano Pasta Fresca,40.727989,-73.98845,1125,4.0
Hollow Nickel,40.685512,-73.981986,211,4.0
Gyu-Kaku Japanese BBQ,40.72822,-73.99142,1671,4.0
