Name,Latitude,Longitude,Votes,Rating
Taqueria El Charro,29.8618218359987,-95.4121311869756,13.0,4.5
Ranchero King Buffet,29.7849768,-95.475329,32.0,2.5
Ostioneria Michoacan,29.71631,-95.31567,25.0,2.5
Sazon Los Abuelos #2,29.86005,-95.40156,1.0,5.0
Chipotle Mexican Grill,29.7746729689072,-95.397916,90.0,3.0
Azteca Taqueria,29.804412,-95.382158,5.0,4.5
Los Nopalitos,29.8195150494576,-95.460020005703,14.0,4.0
La Frontera Taqueria,29.8106384277344,-95.4769058227539,4.0,5.0
Taqueria Mexico,29.70101,-95.29593,25.0,3.0
El Pollo Loco,29.81537,-95.42908,46.0,3.5
Los Charros,29.733412,-95.32914,22.0,3.5
Taco Cabana,29.7226957837813,-95.3470319509506,13.0,3.0
Ranchero King Buffet,29.852,-95.39612,62.0,2.5
Pancho's Mexican Buffet,29.847017,-95.391414,60.0,2.5
Chipotle Mexican Grill,29.7602733134505,-95.3626016273575,50.0,3.0
El Rey Meat Market,29.8095250898366,-95.3815831616521,8.0,4.0
El Topo,29.7180233001709,-95.424446105957,30.0,4.0
Chipotle Mexican Grill,29.7470767643793,-95.410282,86.0,3.5
La Tapatia,29.77975,-95.36368,4.0,3.0
Sunrise Taquito,29.7610244750977,-95.418830871582,163.0,3.5
Tacos D Mundo Bus,29.74212,-95.30211,1.0,4.0
Tortilleria El Maizal,29.7037448909679,-95.2776391588597,2.0,5.0
El Pollo Loco,29.7241449,-95.4680051,70.0,3.0
Taqueria Maya Quiché,29.7704696655273,-95.403450012207,23.0,4.0
Taquerias Arandas,29.7877519466852,-95.409561519955,92.0,3.5
Ruiz Tortilleria Y Taqueria,29.7419070879171,-95.3069547191262,1.0,5.0
Los Dos Hermanos,29.8393734,-95.4110049,5.0,5.0
Chilosos Taco House,29.804184,-95.390791,380.0,3.5
Ninfa's Mexican Cafe,29.738976,-95.463121,57.0,2.5
Sol Cafe Mejicano,29.7557678,-95.366951,22.0,3.0
Taqueria La Morenita,29.7087654555657,-95.2779828384519,10.0,4.0
Dona Chela Restaurant,29.73911,-95.28693,11.0,3.5
Taqueria Allende,29.7178785,-95.2781962,13.0,3.5
El Tiempo Taqueria,29.771195,-95.418328,69.0,4.0
Carnitas Huandacareo,29.8786106109619,-95.6725921630859,3.0,5.0
El Mirador Mexican Restaurant,29.74145,-95.30647,9.0,3.5
Poblano's,29.71078,-95.40048,22.0,2.5
EL TACO NATO,29.8384904,-95.4744839,1.0,5.0
Tecate Mexican Restaurant,29.8102378845215,-95.4295425415039,110.0,3.0
Taqueria El Aragan,29.7318434983521,-95.3085073828697,1.0,5.0
Indio's Taco House,29.8150597,-95.3615112,20.0,2.5
Don Teo's Mexican Restaurant,29.8175926208496,-95.4360733032227,58.0,3.5
Chipotle Mexican Grill,29.7463154099596,-95.3762862434207,107.0,2.5
Luigi's Grille & More,29.6933635545255,-95.4150618240237,1.0,5.0
Torchy's Tacos,29.7221012,-95.4411151,54.0,3.0
J.R.’s Taqueria,29.77348,-95.315,5.0,4.0
Taqueria Fiesta on Lyons,29.7763851547766,-95.31334977597,1.0,5.0
Taqueria Los Comales,29.7786281257868,-95.4107116162777,10.0,4.5
Tacos El Palmar,29.8022968,-95.420461,9.0,4.5
La Vista Tortas & Mas,29.80555,-95.45943,19.0,3.5
El Charrito Mexican Resturant,29.8625334,-95.3639386,4.0,4.5
Taqueria 3 Estados,29.8446729091066,-95.3849191308327,1.0,5.0
Taco Bell,29.7492350504692,-95.4105220012949,64.0,3.0
Cilantro's Fresh Mexican Kitchen,29.7327935,-95.4359142,14.0,3.5
El Rey del Tacorriendo,29.7139524592917,-95.3176952638001,7.0,3.5
Tacos A Go Go,29.7588592,-95.3674515,55.0,3.5
El Tenampa,29.83289,-95.37562,1.0,4.0
Maggie Ritas,29.760394,-95.364167,22.0,3.0
Little Casita Mexican Restaurant,29.839566,-95.473937,25.0,4.0
El Trompo Loco,29.76645,-95.24703,3.0,3.5
4 Taco,29.718045,-95.402086,3.0,3.5
Big Daddy Taco's,29.7295094,-95.2803879,2.0,4.5
La Carreta Mexican Restaurant,29.8038234710693,-95.3963470458984,32.0,3.5
Tila's Tacos Truckeria,29.750339,-95.4069018,47.0,2.0
Ruchi's Mexican Grill,29.67874,-95.42829,103.0,3.0
Taco Cabana,29.7315158843994,-95.4180221557617,122.0,2.5
Bouray's Burrito Bar,29.7559855878353,-95.3705079853535,40.0,2.5
Taqueria Puerto Jaibo,29.8108787536621,-95.4748306274414,4.0,4.0
Taqueria Los Jaliscienses #10,29.7994003,-95.3613434,7.0,2.5
Taqueria Tepatitlan,29.72521,-95.4753,50.0,2.5
Garibaldy's Restaurant,29.7982144432628,-95.3629777104562,2.0,2.0
Los Jacales Restaurant,29.7767353057861,-95.3102874755859,16.0,3.0
Taqueria Adrian,29.7472459662162,-95.3890201080572,4.0,5.0
Mama Chela's,29.6651886,-95.2625889,2.0,5.0
Rey Del Pollo,29.7171990910361,-95.2907502005787,23.0,2.5
Taqueria San Miguel,29.8261831323223,-95.3616138441803,10.0,4.0
Taquerias Arandas,29.715063,-95.313957,48.0,3.5
Goode Co. Taqueria,29.75887,-95.36381,5.0,3.5
Taquerias Arandas,29.6820703,-95.4237595,80.0,3.5
3 Hermanas Taqueria,29.8001584129234,-95.7179750281723,3.0,4.5
Bullritos,29.722749,-95.33727,23.0,2.0
Chipotle Mexican Grill,29.721904,-95.418984,73.0,3.5
Salva-Mex,29.6988479457984,-95.2872448414564,1.0,5.0
Chipotle Mexican Grill,29.7320109291085,-95.466318,106.0,3.0
El Taquito Rico,29.79669,-95.38126,3.0,3.5
Sophia's,29.757547,-95.370399,21.0,3.0
Tepatitlan Mexican Grill,29.7742858,-95.2448817,17.0,3.0
Taco Cabana,29.7732480211747,-95.3988736867905,116.0,2.0
Tortilleria La Fe,29.6736893951793,-95.2709296345711,10.0,4.0
Maria's Tacos and More,29.8400321,-95.4290771,21.0,3.5
Taqueria El Tapatio,29.830654,-95.410341,48.0,4.0
El Penjamo,29.7762222290039,-95.3088607788086,7.0,3.5
El Rey Taqueria,29.8124851,-95.4001992,59.0,3.0
Taqueria Gerrero,29.8188595761255,-95.474373275864,5.0,4.0
Tamales Mama Tera,29.81110833,-95.38169833,1.0,5.0
Reyes Mexican Curios,29.7763633728027,-95.3097610473633,1.0,5.0
Taco Bell,29.70595,-95.41128,40.0,3.5
Las Chenchas,29.887391,-95.393401,4.0,5.0
Pollos Asados El Regio,29.845845,-95.3785879,10.0,2.5
Nancy's Taqueria,29.767467,-95.37191,1.0,3.0
Taconacion,29.6866283416748,-95.2481536865234,1.0,5.0
Chipotle Mexican Grill,29.691094,-95.415728,118.0,2.5
Taquerias Arandas,29.80198,-95.36138,18.0,3.0
I & J’s Krazy Kitchen,29.7970515430247,-95.2710431165676,1.0,5.0
Fajitas TO-GO & Delivery,29.6753402799368,-95.4291933774948,4.0,3.5
La Conguita Taqueria,29.740897,-95.288957,4.0,5.0
Tostada Regia Crosstimbers,29.82878,-95.37571,8.0,2.5
Rio Verde Taqueria Y Restaurant,29.684757232666,-95.296501159668,18.0,3.5
No Toques Mi Taco Taqueria,29.82854,-95.39951,3.0,3.5
David Alcorta Catering,29.810633,-95.4769029,3.0,5.0
La michoacana,29.7193565,-95.4766617,7.0,3.5
El Otro Jalisco,29.85852,-95.47289,3.0,4.5
Taqueria Rincon De Jalisco,29.8121633,-95.4745682,2.0,5.0
La Michoacana,29.6829184,-95.4398855,22.0,3.0
Taco Bell,29.77584,-95.38119,44.0,1.5
Taqueria Matehuala,29.8419955,-95.36286,1.0,5.0
Sarita's Taqueria,29.85497,-95.37212,2.0,4.5
Pollos Asados La Silla,29.71254,-95.27848,4.0,3.5
Tostada Regia,29.77367,-95.30353,8.0,3.5
Chipotle Mexican Grill,29.7322553036201,-95.4390661,66.0,2.5
Ponchy's Tacos,30.0113,-95.56494,5.0,4.5
Taco Bell,29.7199965,-95.3475491,1.0,5.0
Presitas Taqueria,29.6886504259971,-95.2963227778673,2.0,4.5
