Name,Latitude,Longitude,Votes,Rating,Type,City
Scalino,40.7244699,-73.95151,231,4.5,italian,ny
Rossopomodoro,40.7384763561724,-74.0020935999868,231,4.0,italian,ny
Camillo,40.6596,-73.95081,124,4.0,italian,ny
Ribalta Pizza,40.7334346,-73.9916923,541,4.0,italian,ny
Gigino At Wagner Park,40.7052055368065,-74.0184892569177,279,3.5,italian,ny
DOC Wine Bar,40.71966,-73.96046,220,4.0,italian,ny
Mozzarella & Vino,40.76204,-73.97718,252,4.0,italian,ny
Trattoria L'incontro,40.7763330374196,-73.9105868339539,903,4.5,italian,ny
Trattoria Dell'Arte,40.765295646702,-73.98046281606,988,4.0,italian,ny
Ulivo,40.7447371960713,-73.9880339428782,288,4.0,italian,ny
CAFÉ MEDI,40.7199,-73.98803,258,3.5,italian,ny
Nostro Ristorante,40.660738,-73.994285,239,4.5,italian,ny
Ornella Trattoria Italiana,40.7748162,-73.9132582,874,4.0,italian,ny
Toscana 49,40.7556957079225,-73.9717184007168,230,4.0,italian,ny
Oregano,40.7190165,-73.9586248,385,4.0,italian,ny
Maestro Pasta,40.709329,-74.007891,47,4.5,italian,ny
Fabio Cucina Italiana,40.75667,-73.96912,298,4.5,italian,ny
Amali,40.7633557384716,-73.9686296877489,376,4.0,italian,ny
Fornino- Greenpoint,40.728949,-73.953999,202,4.0,italian,ny
Da Raffaele,40.7535386913133,-73.9666010811925,157,4.5,italian,ny
Bistango,40.7425771,-73.9800892,687,4.0,italian,ny
Have & Meyer,40.7132687751084,-73.9564743950496,102,4.0,italian,ny
Vago Restaurant,40.74528,-73.97823,160,4.0,italian,ny
Ciccio,40.7263263267119,-74.0034471165676,279,4.0,italian,ny
Il Corso,40.762463,-73.977161,330,4.5,italian,ny
Basso56,40.7655,-73.98267,607,4.5,italian,ny
My Pie Pizzeria Romana,40.7608512,-73.9694809,722,4.5,italian,ny
Senza Gluten,40.7290911050589,-74.0003699151971,551,4.0,italian,ny
Felice 56,40.762862,-73.975396,12,5.0,italian,ny
Maialino,40.738437,-73.985686,1368,4.0,italian,ny
Il Cortile Restaurant,40.718005,-73.998268,514,3.5,italian,ny
Giando on the Water,40.710766325009,-73.9692663444951,198,3.5,italian,ny
River Deli,40.69368,-73.99858,184,3.5,italian,ny
Zero Otto Nove,40.7407551035259,-73.9914887388588,471,4.0,italian,ny
Zia Maria-Little Italy,40.71861,-73.99754,114,4.0,italian,ny
Bar Primi,40.725639,-73.991714,603,3.5,italian,ny
La Vela Dining & Bar,40.761082,-73.997872,165,4.0,italian,ny
Jardino Restaurant,40.76686,-73.96249,48,5.0,italian,ny
Go Nonna,40.74831,-73.9499,40,4.5,italian,ny
Zia Maria-Chelsea,40.7454863,-73.9993392,224,4.0,italian,ny
Il Falco,40.7476595714373,-73.9455319123659,277,4.5,italian,ny
Levante,40.74764,-73.94173,205,4.0,italian,ny
Aita Trattoria,40.6712095108944,-73.9579255586597,171,4.0,italian,ny
Passatempo,40.715837,-73.964147,50,4.5,italian,ny
Il Punto Ristorante,40.75612,-73.99467,350,4.0,italian,ny
Luna Restaurant,40.7178030413609,-74.0443970331015,155,4.0,italian,ny
Casa Apicii,40.7339,-73.99867,142,4.0,italian,ny
Obicà Mozzarella Bar Pizza e Cucina,40.7400486,-73.9893018,430,4.0,italian,ny
Saluggi's,40.720104,-74.003578,551,4.0,italian,ny
Fiore,40.71293,-73.95787,415,4.0,italian,ny
Manetta's Ristorante,40.742935,-73.951929,369,4.0,italian,ny
Caffe E Vino,40.68971,-73.97827,310,4.0,italian,ny
Roman's,40.689671,-73.96953,226,3.5,italian,ny
Luzzo's BK,40.690706,-73.9952269,176,4.0,italian,ny
Rafele Ristorante,40.7309471231405,-74.0041171779098,466,4.0,italian,ny
