Name,Latitude,Longitude,Votes,Rating,Type
Beauty & Essex,40.72037,-73.98677,3400,4.0,american
The Black Derby,40.737266,-74.00399,181,4.5,american
Belle Reve,40.7194897,-74.0041143883606,158,4.0,american
Egg Shop,40.7204574688656,-73.9952510689421,1086,4.0,american
ABC Kitchen,40.738085,-73.989472,2933,4.0,american
Jacob's Pickles Time Out Market,40.7034,-73.991402,21,4.0,american
Xifu Food,40.6880326,-73.9819963,128,4.5,american
Momofuku Ssam Bar,40.73169,-73.985846,2419,4.0,american
The Bluebell Cafe,40.73845,-73.98321,605,4.0,american
Mémé Mediterranean,40.736412,-74.00616,577,4.0,american
Junior's Restaurant & Bakery - 45th St.,40.7582662685627,-73.98654,4445,4.0,american
Kogane Ramen,40.698608,-73.992675,316,4.0,american
Cafe Mogador,40.727258767439,-73.9845085144043,1864,4.0,american
While We Were Young,40.73437,-74.00272,308,4.0,american
Cafe Luluc,40.68447,-73.99214,1363,4.0,american
Trattoria Trecolori,40.75998,-73.98671,2296,4.0,american
Monarch Theater Restaurant,40.71595,-73.96222,49,5.0,american
Gato,40.7255312,-73.9951947,1128,4.0,american
Kaikagetsu NYC,40.72104,-73.98848,50,4.5,american
Sweet Chick,40.74578,-73.95339,297,4.0,american
Fish Cheeks,40.7258,-73.9927,515,4.5,american
Rustic Table,40.759624,-73.9958265,807,4.0,american
Brooklyn Ice House,40.67919,-74.011099,221,4.5,american
Turntable Chicken Jazz,40.74828,-73.98649,1978,4.0,american
Golden Diner,40.71244,-73.994,85,4.5,american
House of Small Wonder,40.7188839655893,-73.9606090848567,703,4.0,american
TØRST,40.7233949,-73.950856,389,4.5,american
Pylos,40.72608,-73.98415,1110,4.5,american
Kiki's,40.7144971858255,-73.9918553931336,581,4.0,american
BH Kitchen & Bar,40.757346,-73.976621,137,4.0,american
Evelina,40.689722,-73.971003,150,4.5,american
Szechuan Mountain House,40.72911,-73.98858,303,4.0,american
Hourglass Tavern,40.760952,-73.9903269,746,4.0,american
Hometown Hotpot & BBQ,40.71931,-73.99689,1178,4.0,american
Nai Tapas,40.7267949,-73.9892815,894,4.5,american
Oda House,40.7240282,-73.9821844,350,4.0,american
L'industrie Pizzeria,40.71162,-73.95783,494,5.0,american
Sweet Chick,40.67763,-73.97255,584,4.0,american
Daniel,40.7667736797858,-73.967607,1563,4.5,american
Takashi,40.7313524,-74.0065048,976,4.0,american
Gaia Italian Café,40.721653,-73.985346,979,4.0,american
Citizens Of Gramercy,40.73674,-73.98152,115,4.0,american
Oxomoco,40.7299099,-73.95548,256,4.0,american
Oceanic Boil,40.7498297,-73.8821356,512,4.5,american
