Name,Latitude,Longitude,Votes,Rating,Type
Sweet Paris Crêperie & Café,29.717649,-95.4158516,956,4.0,indian
Luigi's Pizzeria,29.735367,-95.374622,1041,4.0,indian
Mia Bella Trattoria,29.7323697055943,-95.4381511442779,362,4.5,indian
Cafe Brussels,29.77355,-95.3722,271,4.0,indian
Cantina Barba,29.79085,-95.37339,128,4.5,indian
Potente,29.7572378866031,-95.3574474900742,204,4.5,indian
Slowpokes,29.816942,-95.420669,238,4.5,indian
A'Bouzy,29.7426814370813,-95.4153464734554,356,3.5,indian
Barnaby's Cafe,29.750452,-95.410401,675,4.0,indian
Barnabys Cafe,29.75366,-95.387,436,4.0,indian
Brennan's of Houston,29.7429008483887,-95.3814392089844,733,4.0,indian
Hugo's,29.74317,-95.39977,1267,4.0,indian
Nobu Houston,29.74048,-95.46467,243,3.5,indian
Dona Maria,29.75787,-95.34309,117,4.5,indian
Tropicales,29.72583,-95.41034,135,4.0,indian
Petrol Station,29.8213393,-95.4239446,693,4.0,indian
Helen T's Soul Food Cafe,29.8303049061824,-95.3191835805774,17,5.0,indian
Helen In The Heights,29.791578,-95.388365,194,4.0,indian
Hopdoddy Burger Bar,29.7435167,-95.4536324,739,3.5,indian
Standard,29.77073,-95.41488,53,4.0,indian
Les Givral's Sandwich & Café,29.745506,-95.3768966,1190,4.0,indian
Harold's,29.8026744965396,-95.4033817668648,276,3.5,indian
Coral Sword,29.7307648065755,-95.3273910975722,86,4.5,indian
Prohibition Theatre,29.76045,-95.36169,551,4.0,indian
Indianola,29.7490110165714,-95.3567924837475,148,4.0,indian
Foreign Policy,29.7194347381592,-95.4214096069336,123,4.5,indian
Superica,29.80193,-95.41033,276,4.0,indian
Empire Cafe,29.742905,-95.403542,1514,4.0,indian
Cajun Town Cafe,29.75796,-95.347447,59,4.5,indian
Cabo Baja Tacos & Burritos,29.77071,-95.4071,300,4.0,indian
Holman Draft Hall,29.7402447,-95.3797844,239,4.0,indian
Sleepy's Po-Boys,29.679671,-95.42486,337,4.0,indian
Jus' Mac Montrose,29.744899,-95.3820099,523,3.5,indian
Roti Modern Mediterranean,29.709644,-95.401239,2,5.0,indian
The Waffle Bus,29.80249,-95.41039,370,4.0,indian
Mai's Restaurant,29.7411156,-95.3798064,1019,3.5,indian
Brookstreet Bar-B-Que,29.7460823059082,-95.3914413452148,352,4.0,indian
Watershed,29.6714359176385,-95.4596153178446,68,5.0,indian
Julep,29.7676141,-95.3779718,336,4.0,indian
Vibrant,29.74455,-95.40574,203,4.0,indian
Red Lion British Pub,29.74565,-95.41098,610,3.5,indian
Cleburne Cafeteria,29.72567,-95.43232,396,3.5,indian
Blue Nile,29.737581,-95.426543,324,4.0,indian
Mala Sichuan Bistro,29.7442254,-95.3932558,437,4.0,indian
Mary'z Mediterranean Cuisine,29.7706311048388,-95.4068061172845,216,4.0,indian
SeaSide Poke,29.7501531437211,-95.3561897076783,382,4.5,indian
bellagreen,29.790639,-95.3879981,406,4.0,indian
Pho Saigon,29.7451191,-95.3774719,928,4.0,indian
Beer Market Co - Studemont,29.7671159390386,-95.3917187200568,315,4.0,indian
Tea + Victory,29.80427,-95.42676,174,4.5,indian
Oishii,29.7330860390498,-95.4368909182455,1228,4.0,indian
El Tiempo Cantina- Washington,29.7709916,-95.4189711,585,4.0,indian
BB’s Tex-Orleans,29.81689,-95.43032,106,4.0,indian
Etoile Cuisine et Bar,29.75697,-95.45693,369,4.5,indian
Polanquito,29.76628,-95.40922,121,4.5,indian
sweetgreen,29.74343,-95.39514,29,4.5,indian
Kata Robata,29.7335727255874,-95.4194910185242,1420,4.0,indian
Loch Bar,29.742318,-95.453565,79,4.0,indian
Tarka Indian Kitchen,29.80303,-95.41111,492,4.0,indian
Harris County General Store Barbecue,29.74703,-95.30759,15,5.0,indian
Houston's,29.72891,-95.4189,613,4.0,indian
Good Dog,29.738886777925,-95.3952345997095,237,4.0,indian
Mia Bella Trattoria,29.7534684960069,-95.3641167312134,279,4.0,indian
MAX's Wine Dive,29.748418,-95.385446,583,4.0,indian
Emmaline,29.7574085485449,-95.3999614033765,344,3.5,indian
BB's Tex-Orleans,29.73362,-95.42607,447,3.5,indian
Georgia James,29.7450251168537,-95.393044911325,164,4.0,indian
Gyro Hut,29.69939,-95.3857,219,4.5,indian
Luna Pizzeria,29.7724879794653,-95.3990623776413,234,4.5,indian
Under the Volcano,29.72527,-95.4147,337,4.0,indian
Aladdin Mediterranean Grill - Garden Oaks,29.8166847925393,-95.4307027906179,126,4.5,indian
Taco Keto,29.73877,-95.33909,114,4.5,indian
Dumpling Haus,29.7411089,-95.4306334,10,4.5,indian
Guadalajara Mexican Grille & Bar,29.72957,-95.4236899,373,4.0,indian
Andalucia Tapas Restaurant & Bar,29.753411,-95.364196,488,3.5,indian
Surya India,29.7685441737493,-95.4102170839906,272,4.0,indian
The Annie Café & Bar,29.74778,-95.46229,11,4.5,indian
Warehouse 72,29.785959,-95.465455,86,4.0,indian
