Name,Latitude,Longitude,Votes,Rating,Type
Calabrije's Margaritas & Tacos,40.7055429619569,-73.9225539192783,83,4.0,mexican
Antojitos El Atoradero,40.6787553,-73.982814,2,5.0,mexican
Beefrria Landia,40.747258,-73.887784,17,5.0,mexican
Chinantla,40.69464,-73.95747,108,4.0,mexican
Fonda Chelsea,40.7455185879981,-74.0021848849335,329,3.5,mexican
Blockheads,40.7627155294445,-73.9876316100625,766,3.5,mexican
San Pedro Inn,40.67908,-74.01106,17,4.0,mexican
Two Lizards Mexican Bar & Grill,40.768857,-73.955524,462,3.5,mexican
Tacombi - Upper West Side,40.78251,-73.97856,80,4.0,mexican
Ghost Donkey,40.72524,-73.99271,140,3.5,mexican
Hoja Santa,40.7638197,-73.914523,33,4.5,mexican
Taco Dumbo,40.75811,-73.9831455,33,4.0,mexican
Taco Dumbo,40.72206,-73.99674,31,3.5,mexican
Dos Toros Taqueria,40.706940531234,-74.0068830175517,107,3.5,mexican
Taqueria Mexico 2000,40.71509,-73.96246,9,4.0,mexican
Dos Toros Taqueria,40.6920649351928,-73.9914631471038,90,3.5,mexican
The Breakers,40.717535,-73.948872,42,3.5,mexican
Twisted Mexican Grill,40.772422,-73.9264379,44,4.5,mexican
Viva Toro,40.7166,-73.96136,489,3.0,mexican
Mesa Azteca,40.70506,-73.92022,239,4.0,mexican
B'klyn Burro,40.6827188,-73.9640973,99,4.0,mexican
Court Street Grocers Lunch,40.71385,-73.95554,24,4.5,mexican
El Kucho Mexican Restaurant,40.70073,-73.92551,187,4.0,mexican
Bodega Negra,40.7421414364183,-74.0035781860352,653,3.5,mexican
Antojito Mexicano,40.7460380678347,-73.9905191880082,37,4.5,mexican
Burritos y Mas NY Tex-Mex,40.7887686998247,-73.9486259859039,152,4.0,mexican
Les Crêpes & Taqueria,40.7154425095498,-73.9899829811096,82,4.0,mexican
Laly's Restaurant,40.747207,-73.8897241,117,4.5,mexican
El Mitote,40.77578,-73.98021,477,3.5,mexican
Mexico Diner,40.6387,-73.96963,91,4.5,mexican
Revolution Taco & Tequila Bar,40.70437,-74.01039,9,3.5,mexican
Taqueria Coatzingo,40.7471912668812,-73.8895068500844,420,4.0,mexican
Burger One,40.7752780616283,-73.9587344974279,190,4.0,mexican
New Mexico Place,40.70851,-73.94356,189,3.5,mexican
Del Sur Cocina,40.70847,-73.93817,5,4.5,mexican
