Name,Latitude,Longitude,Votes,Rating,Type
Tessa,40.7814059,-73.97918,369.0,4.0,mediterranean
Il Buco,40.72583,-73.99299,652.0,4.0,mediterranean
Benno,40.74388,-73.98705,28.0,4.5,mediterranean
Zatar,40.6980763644669,-73.9245712108767,99.0,4.5,mediterranean
ABA Turkish Restaurant,40.7672794037324,-73.9838727571167,498.0,4.0,mediterranean
Kabob Shack,40.710663537386,-73.957783053073,165.0,4.0,mediterranean
The Drunken Horse,40.748073,-74.004226,126.0,4.0,mediterranean
Eléa,40.78754,-73.9765199,77.0,4.0,mediterranean
Sumela Mediterranean Cafe & Grill,40.7750785978051,-73.950450334847,116.0,4.5,mediterranean
Della,40.65287,-73.97631,113.0,4.0,mediterranean
Skewr Kabob Kitchen,40.7405,-73.98752,108.0,4.5,mediterranean
Snack Taverna,40.731033,-74.004814,323.0,4.0,mediterranean
Astoria Seafood and Grill,40.76586,-73.91304,64.0,4.5,mediterranean
Cevabdzinica Sarajevo,40.75703,-73.92189,149.0,4.0,mediterranean
Cibo E Vino,40.790206,-73.9749174,309.0,4.0,mediterranean
Marseille,40.759806,-73.991378,873.0,4.0,mediterranean
NAYA,40.7516816,-73.9739628,403.0,4.0,mediterranean
CAVA,40.7408422,-73.9855104,158.0,4.0,mediterranean
Faros Restaurant,40.6749,-73.97532,203.0,4.0,mediterranean
Fig & Olive - Fifth Ave,40.7594108995958,-73.9755487419944,1143.0,3.5,mediterranean
Kefi,40.78332,-73.97946,142.0,4.0,mediterranean
Hummus Kitchen,40.76427,-73.98797,765.0,4.0,mediterranean
Koroni Souvlaki and Grill,40.768544,-73.92121,241.0,5.0,mediterranean
Avra Madison,40.7644,-73.97166,260.0,4.0,mediterranean
CAFÉ MEDI,40.7199,-73.98803,259.0,3.5,mediterranean
Omar's Mediterranean Cuisine,40.751888,-73.981211,152.0,4.0,mediterranean
Limani,40.7593809598193,-73.9778140767212,411.0,4.0,mediterranean
The Halal Guys,40.7323060751209,-73.9843906361069,751.0,3.5,mediterranean
Ringolevio,40.71907,-73.94337,275.0,4.5,mediterranean
Antique Garage Tribeca,40.71972,-74.00397,92.0,4.0,mediterranean
EONS Greek Food for Life,40.74528,-73.97588,313.0,4.0,mediterranean
Thalassa Restaurant,40.7193085,-74.0095971,400.0,4.0,mediterranean
Newtown,40.7091391,-73.9372268,128.0,4.5,mediterranean
Miraj Healthy Grill,40.7464441,-73.9802022,122.0,4.5,mediterranean
Crisp,40.753698,-73.985967,394.0,4.0,mediterranean
Sultan Restaurant & Cafe Lounge,40.69027,-73.99503,82.0,4.0,mediterranean
Underhill Brooklyn,40.67942,-73.96554,54.0,4.0,mediterranean
Tru Astoria,40.774546,-73.908168,352.0,4.0,mediterranean
Barbounia,40.7382,-73.98804,1223.0,3.5,mediterranean
Souk El Shater,40.74385,-73.92113,215.0,4.5,mediterranean
Sakib,40.712023,-73.962702,13.0,4.0,mediterranean
Athena Mediterranean Cuisine,40.66476,-73.98648,330.0,4.5,mediterranean
Il Fiorista,40.74413,-73.98955,14.0,4.5,mediterranean
Loi Estiatorio,40.765385,-73.978002,343.0,4.5,mediterranean
Shoo Shoo,40.72015,-73.99623,61.0,4.5,mediterranean
Spiegel,40.723690032959,-73.98783,330.0,4.0,mediterranean
Istanbul Kebab House,40.76256,-73.98941,528.0,4.0,mediterranean
Istanbul Park,40.667868,-73.980688,314.0,3.5,mediterranean
Sahara's Turkish Cuisine,40.74143,-73.97854,241.0,3.5,mediterranean
One Lenox,40.76106,-73.96124,56.0,4.5,mediterranean
Pomp & Circumstance Dining,40.714166,-73.949612,11.0,5.0,mediterranean
Zatar,40.6638,-73.98067,59.0,4.0,mediterranean
Abuqir Seafood,40.7683,-73.9110794,110.0,5.0,mediterranean
Hummus Kitchen,40.7763650431587,-73.9529693360589,780.0,4.0,mediterranean
ZAVŌ Restaurant & Lounge,40.7622655124751,-73.9659871403697,123.0,4.0,mediterranean
Arco Cafe,40.7988462,-73.967065,259.0,4.5,mediterranean
Akdeniz Mediterranean Restaurant,40.756519714277,-73.9800018306885,390.0,4.0,mediterranean
Taci's Beyti,40.60956,-73.96209,690.0,4.5,mediterranean
Gemelli,40.70831,-73.92027,43.0,4.0,mediterranean
Zerza Moroccan Kitchen,40.7185503577207,-73.9883098751306,11.0,4.5,mediterranean
Taim Nolita,40.7219978459617,-73.9961312441527,486.0,4.0,mediterranean
Antique Garage Soho,40.72152,-74.00142,403.0,3.5,mediterranean
Rintintin,40.721146,-73.994904,165.0,3.5,mediterranean
Darna Falafel,40.6870474589747,-73.9938177876969,211.0,4.0,mediterranean
Telly's Taverna,40.775355401246,-73.9140461748688,327.0,4.0,mediterranean
Lavatera Grill,40.69126,-73.99072,40.0,4.0,mediterranean
Cleo,40.743973,-73.981324,107.0,4.0,mediterranean
Meze,40.62523,-74.00211,302.0,4.0,mediterranean
North Miznon,40.77843,-73.98079,111.0,3.5,mediterranean
CAVA,40.705912,-74.0087867,14.0,3.5,mediterranean
