Name,Address,Votes,Rating,cost,Longitude,Latitude,Category,City
"Casey's Hot Wings & More
                                    "," 5204 Live Oak St, Houston 77004",Cuisines: ,,Cost for two:$25,-95.3733242,29.7194836,BBQ,Houston
"Star Pizza
                                    "," 2111 Norfolk Street, Houston 77098",678 votes,4.7,Cost for two:$50,,,Italian,Houston
"Maggiano's Little Italy
                                    ", 2019 Post Oak Boulevard 77056,527 votes,4.7,Cost for two:$55,,,Italian,Houston
"Italiano's
                                    "," 217 Farm to Market 1960 Bypass Road E, Humble 77338",239 votes,4.6,Cost for two:$75,,,Italian,Houston
"Santa Barbara Italian Cafe
                                    "," 5012 Broadway Street, Pearland 77581",149 votes,4.3,Cost for two:$150,,,Italian,Houston
"Grimaldi's Pizzeria
                                    "," 20 Waterway Avenue, Suite 100, The Woodlands 77380",177 votes,4.2,Cost for two:$75,,,Italian,Houston
"Prego Italian Cuisine
                                    "," 2520 Amherst Street, Houston 77005",169 votes,4.3,Cost for two:$70,,,Italian,Houston
"BRIO Tuscan Grille - Woodlands - The Woodlands
                                    ", 1201 Lake Woodlands Drive 77380,198 votes,4.2,Cost for two:$35,,,Italian,Houston
"D'Amico's Italian Market Cafe
                                    ", 5510 Morningside Drive 77005,170 votes,4.3,Cost for two:$45,,,Italian,Houston
"Da Vinci Ristorante Italiano
                                    "," 6455 South Fry Road, Suite 100, Katy 77494",133 votes,4.7,Cost for two:$150,,,Italian,Houston
"Dan's Pizza Co.
                                    ", 15148 HWY 3. 77598,",",4.7,Cost for two:$25,,,Italian,Houston
"La Griglia
                                    ", 2002 West Gray Street 77019,140 votes,4.2,Cost for two:$75,,,Italian,Houston
"Barry's Pizza and Italian Diner
                                    ", 6003 Richmond Avenue 77057,117 votes,4.1,Cost for two:$25,,,Italian,Houston
"Carrabba's
                                    "," 3115 Kirby Drive, Houston 77098",156 votes,4.3,Cost for two:$100,,,Italian,Houston
"Via Emilia
                                    ", 10700 Kuykendahl Road 77381,137 votes,4.3,Cost for two:$150,,,Italian,Houston
"MidiCi
                                    "," 21784 Katy Freeway, Suite 100 77024",",",,Cost for two:$30,,,Italian,Houston
"Brothers Pizzeria
                                    "," 1029 Hwy 6 N, Suite 100, Houston 77079",110 votes,4.4,Cost for two:$25,,,Italian,Houston
"The Italian Joint
                                    ", 26420 Preston Street 77373,Cuisines: ,,Cost for two:$50,,,Italian,Houston
