Name,Address,Votes,Rating,cost,Longitude,Latitude
"Casanova Restaurant
                                    "," 338 McGuinness Boulevard, Brooklyn 11222",4 votes,"
                                        3.7
                                    ",Cost for two:$45,-73.9520374,40.7341244
"Bella Pizza
                                    "," 4555 3rd Avenue, Bronx 10458",Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-73.89067829999999,40.8550089
"Pino's Pizzeria
                                    "," 5201 5th Avenue, Brooklyn 11220",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-74.01138279999999,40.6437518
"East Broadway Pizza
                                    ", 127 East Broadway 10002,Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.9919932,40.7137081
"Pizza King
                                    "," 3916 18th Avenue, Brooklyn 11218",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.97290319999999,40.632898
"Five Star Cheesesteak and Pizza LLC
                                    "," 2039 1st Avenue, New York 10029",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.940713,40.78929300000001
"Saba's Pizza
                                    "," 403 Amsterdam Avenue, New York, NY 10024",",","
                                        -
                                    ",Cost for two:$15,-73.9779866,40.7832954
"Sam's Famous Pizza
                                    "," 150 E 116th Street, New York, NY 10029",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.941632,40.798309
"City Cafe
                                    "," 35 W 43rd Street, New York 10036",",","
                                        -
                                    ",Cost for two:$25,-73.9819838,40.7550912
"Two Boots Pizza
                                    "," 558 Driggs Avenue, Brooklyn 11211",Cuisines: ,"
                                        -
                                    ",Cost for two:$35,-73.9568094,40.717007
"Clinton Square Pizza
                                    "," 201 Clinton Street, New York 10002",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-73.9872592,40.7139682
"Pronto Pizza
                                    ", 62 W 48th Street 10036,Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-73.980715,40.758128
"Jerusalem II Pizza
                                    "," 1424 Avenue M, Brooklyn 11230",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.96025159999999,40.6178135
"Perfecto Pizza
                                    "," 169-23  Jamaica Avenue, Jamaica 11432",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.79001880000001,40.7073316
"New York Pizzeria
                                    "," 821 5th Avenue, New York 10065",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.9710113,40.7670248
"Domino's Pizza
                                    ", 315 East 204th Street,",","
                                        -
                                    ",Cost for two:$15,-73.877994,40.87279669999999
"La Rossa
                                    "," 267 Lafayette Street, New York, NY",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-73.99645029999999,40.72348239999999
"Made In New York Pizza
                                    "," 645 9th Avenue, New York, NY",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.99139819999999,40.7606246
"Uncle Al's Pizza
                                    "," 7810 20th Avenue, Brooklyn 11214",Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-73.9939988,40.60898479999999
"Bellelizzimo Pizza
                                    "," 138-19 Hillside Avenue, Queens, NY 11435",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.81607710000002,40.7043811
